Sample File,NoC_True,max_allele_per_sample,total_alleles_per_sample,avg_alleles_per_marker,markers_gt2_alleles,markers_gt3_alleles,markers_gt4_alleles,avg_peak_height,std_peak_height
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,2,17,130,8.125,15,14,13,11.815384615384616,17.98793810195497
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,3,12,112,7.0,15,14,14,12.678571428571429,17.14758119433544
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,5,24,132,8.25,15,14,13,45.50757575757576,85.47243895780544
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,5,17,126,7.875,16,14,14,16.166666666666668,21.606418064716365
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,3,26,140,8.75,15,15,15,19.84285714285714,25.101585444683263
B01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.5IP-Q0.9_002.5sec.fsa,4,15,143,8.9375,15,15,14,161.8881118881119,217.74810958835477
B01_RD14-0003-44_45-1;1-M2S30-0.25IP-Q3.0_002.5sec.fsa,2,20,133,8.3125,15,15,14,28.93233082706767,58.32540238815483
B01_RD14-0003-44_45-1;1-M3a-0.25IP-Q0.5_002.5sec.fsa,2,17,125,7.8125,15,14,14,118.288,160.8330720218948
B02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.5IP-Q3.2_002.5sec.fsa,4,30,165,10.3125,15,14,14,37.72121212121212,71.08224752835463
B02_RD14-0003-44_45-1;1-M2e-0.25IP-Q0.8_002.5sec.fsa,2,26,147,9.1875,16,15,14,52.29251700680272,86.1769427063231
B05_RD14-0003-40_41_42_43-1;1;1;1-M3S10-0.06IP-Q1.5_002.5sec.fsa,4,18,127,7.9375,15,15,13,10.740157480314961,11.272719909073777
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.155IP-Q2.9_002.5sec.fsa,5,21,148,9.25,15,15,14,17.385135135135137,30.05682088542458
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.625IP-Q0.7_002.5sec.fsa,5,18,138,8.625,15,15,15,233.17391304347825,298.69141928945976
B06_RD14-0003-46_47_48-1;1;1-M2a-0.375IP-Q0.4_002.5sec.fsa,3,14,129,8.0625,15,15,14,219.70542635658916,297.57618796700325
B07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.625IP-Q1.9_002.5sec.fsa,5,25,150,9.375,15,15,14,77.22,126.57002646756459
B07_RD14-0003-46_47_48-1;1;1-M2e-0.375IP-Q1.0_002.5sec.fsa,3,21,145,9.0625,15,15,15,70.39310344827587,120.14429810120278
C01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.252IP-Q0.9_003.5sec.fsa,4,17,138,8.625,15,15,14,86.51449275362319,119.02668288764269
C01_RD14-0003-44_45-1;1-M2S30-0.126IP-Q3.0_003.5sec.fsa,2,20,121,7.5625,14,14,10,18.983471074380166,32.26952185645466
C01_RD14-0003-44_45-1;1-M3a-0.126IP-Q0.5_003.5sec.fsa,2,14,116,7.25,15,15,13,63.25,84.45748522389728
C02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.252IP-Q3.2_003.5sec.fsa,4,21,149,9.3125,15,15,15,22.114093959731544,39.40029131520115
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.075IP-Q2.9_003.5sec.fsa,5,14,127,7.9375,15,15,13,10.88976377952756,13.733818450654521
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.315IP-Q0.7_003.5sec.fsa,5,18,139,8.6875,16,15,15,129.10071942446044,174.25786296531305
C06_RD14-0003-46_47_48-1;1;1-M3a-0.189IP-Q0.5_003.5sec.fsa,3,17,131,8.1875,15,15,14,102.7557251908397,156.53159043177212
C07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.315IP-Q1.9_003.5sec.fsa,5,22,142,8.875,16,15,15,42.605633802816904,65.71802309724146
C07_RD14-0003-46_47_48-1;1;1-M2e-0.189IP-Q1.0_003.5sec.fsa,3,22,154,9.625,15,15,15,41.714285714285715,72.50550487705613
D01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.124IP-Q0.9_004.5sec.fsa,4,19,148,9.25,15,15,15,61.554054054054056,92.60036802972394
D01_RD14-0003-44_45-1;1-M3S30-0.062IP-Q3.1_004.5sec.fsa,2,16,121,7.5625,14,14,13,12.694214876033058,19.26794236279466
D01_RD14-0003-44_45-1;1-M3a-0.062IP-Q0.5_004.5sec.fsa,2,22,148,9.25,15,15,14,35.554054054054056,54.745761749295184
D02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.124IP-Q3.2_004.5sec.fsa,4,26,165,10.3125,16,15,15,17.684848484848484,27.572451350249793
D02_RD14-0003-44_45-1;1-M4e-0.062IP-Q1.3_004.5sec.fsa,2,21,154,9.625,16,15,14,15.428571428571429,26.65310029062362
D06_RD14-0003-46_47_48-1;1;1-M3a-0.093IP-Q0.5_004.5sec.fsa,3,18,139,8.6875,15,15,15,60.007194244604314,91.752050642826
E01_RD14-0003-40_41_42_43-1;1;1;1-M4a-0.06IP-Q0.7_001.5sec.fsa,4,20,144,9.0,16,16,15,27.493055555555557,43.28555002149771
E01_RD14-0003-44_45-1;1-M4S30-0.03IP-Q3.2_001.5sec.fsa,2,23,130,8.125,15,14,12,7.530769230769231,8.26688338775536
E01_RD14-0003-44_45-1;1-M4a-0.031IP-Q0.5_001.5sec.fsa,2,14,124,7.75,15,14,14,25.870967741935484,39.00350847368765
E02_RD14-0003-40_41_42_43-1;1;1;1-M4e-0.06IP-Q5.6_001.5sec.fsa,4,20,135,8.4375,14,14,12,8.792592592592593,11.08291731636696
E02_RD14-0003-44_45-1;1-M4e-0.031IP-Q1.3_001.5sec.fsa,2,14,112,7.0,16,13,13,11.428571428571429,16.09165394018316
E06_RD14-0003-46_47_48-1;1;1-M3a-0.045IP-Q0.5_001.5sec.fsa,3,19,133,8.3125,15,15,13,39.285714285714285,57.522218189079354
E07_RD14-0003-46_47_48-1;1;1-M3e-0.093IP-Q0.8_001.5sec.fsa,3,25,154,9.625,15,15,14,20.233766233766232,28.90463320785127
F01_RD14-0003-44_45-1;1-M2d-0.25IP-Q0.7_002.5sec.fsa,2,16,134,8.375,15,15,15,85.65671641791045,132.4818829899446
F02_RD14-0003-46_47_48-1;1;1-M2S10-0.375IP-Q1.2_002.5sec.fsa,3,21,130,8.125,15,15,15,64.38461538461539,114.3050833121866
F06_RD14-0003-46_47_48-1;1;1-M3d-0.375IP-Q0.5_002.5sec.fsa,3,16,127,7.9375,15,14,14,111.62992125984252,160.85381455190708
F07_RD14-0003-46_47_48-1;1;1-M3e-0.045IP-Q0.8_002.5sec.fsa,3,21,137,8.5625,15,15,15,14.802919708029197,18.07520357218792
G01_RD14-0003-44_45-1;1-M3d-0.126IP-Q0.5_003.5sec.fsa,2,15,131,8.1875,15,15,13,49.49618320610687,75.8796127710668
G02_RD14-0003-46_47_48-1;1;1-M2S10-0.189IP-Q1.2_003.5sec.fsa,3,30,162,10.125,15,15,14,34.74074074074074,66.89872164306277
G04_RD14-0003-40_41_42_43-1;1;1;1-M1S10-0.5IP-Q1.3_003.5sec.fsa,4,23,135,8.4375,15,15,14,83.08888888888889,131.99003703516115
G06_RD14-0003-46_47_48-1;1;1-M4d-0.189IP-Q0.6_003.5sec.fsa,3,18,142,8.875,15,15,15,50.485915492957744,78.38400741559512
H01_RD14-0003-44_45-1;1-M4d-0.062IP-Q0.9_004.5sec.fsa,2,25,129,8.0625,15,15,14,25.674418604651162,38.10433713349321
H02_RD14-0003-46_47_48-1;1;1-M3S10-0.093IP-Q1.4_004.5sec.fsa,3,17,116,7.25,15,14,13,26.939655172413794,41.03452894086072
H04_RD14-0003-40_41_42_43-1;1;1;1-M2S10-0.252IP-Q1.3_004.5sec.fsa,4,23,150,9.375,15,15,14,44.38,71.95004470695855
H05_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.625IP-Q2.4_004.5sec.fsa,5,18,135,8.4375,15,15,15,83.0962962962963,154.84108336418242
H06_RD14-0003-46_47_48-1;1;1-M4d-0.093IP-Q0.6_004.5sec.fsa,3,13,130,8.125,15,15,14,36.292307692307695,57.42546287999992
