Country,Predicted_CA
Venezuela,4.363919527992053
Vietnam,3.902799341811523
Zimbabwe,5.886175631047839
Afghanistan,4.04499551265148
Algeria,6.25970252440692
Argentina,6.482843783074542
Armenia,4.572312645436331
Australia,29.25669171724489
Azerbaijan,7.933107469622494
Bahamas,7.107267033960259
Belgium,8.07637698769489
Belarus,9.777751302231088
Botswana,4.257105015538141
Brazil,12.121220339372064
Bahrain,6.550139034676695
Bulgaria,8.990878983906587
Canada,18.143684134515357
China,50.05252884307916
Cameroon,3.73440308252967
Colombia,7.813969296664857
Croatia,7.221061819782507
Cuba,15.12480086706114
Cyprus,3.8340356730649514
Czech Republic,9.823090298729834
Denmark,11.285811401718888
Dominican Republic,5.505532037206915
Egypt,5.812961760392752
Spain,14.855592409775998
Estonia,4.813955734221218
Ethiopia,8.752811547158025
Finland,11.317503924935053
France,33.238350016734614
Gabon,4.307397051916492
Great Britain,48.21342020472724
Ireland,26.50684944568
Georgia,6.724156291932976
Germany,34.75956072395748
Greece,6.741267650560044
Grenada,6.495203136457681
Guatemala,3.55120843527724
Hong Kong,3.9798102864283127
Hungary,21.994317432459614
Indonesia,5.089415099794769
India,6.5329614566210035
Iran,10.943917383794972
Ireland,6.893333233645908
Italy,27.530153922168356
Jamaica,10.877436719501652
Japan,27.80644342786511
Kazakhstan,10.116476890943655
Kenya,10.922889567809005
South Korea,22.029121676990787
Saudi Arabia,4.096506315397112
Kuwait,4.138501306408108
Latvia,5.873374099366254
Lithuania,6.900768073292979
Morocco,4.376055970421968
Malaysia,4.346030617710833
Mexico,7.72815540262053
Mongolia,6.224340685733509
Montenegro,3.9342447585520817
Netherlands,17.746271528488517
Norway,7.770381973226873
New Zealand,11.274115753282384
Poland,15.518750837863283
Portugal,5.133868571239777
North Korea,5.622021486950978
Puerto Rico,4.5609335264564645
Qatar,4.5834579862862395
Romania,13.622615817788017
South Africa,8.970612045310343
Russia,38.545413987699845
Singapore,4.420436809100576
Slovenia,6.4007174027147915
Serbia,5.774670217345658
Switzerland,10.233822760384001
Slovakia,5.947262398169848
Sweden,16.942515849786204
Thailand,5.134090629121561
Tajikistan,3.924797807518791
Chinese Taipei,5.60908838825484
Trinidad and Tobago,6.218558076461529
Tunisia,6.090275341347823
Turkey,7.764580125468091
Uganda,6.5759967916968085
Ukraine,15.472714638333283
United States,95.67427829977319
Uzbekistan,5.113424823691956
Venezuela,7.008284840621364
Vietnam,3.6504477298983486
Algeria,4.803164317234719
Argentina,7.91084780400361
Armenia,6.155000741108939
Australia,27.270858507255692
Austria,5.389272912938188
Azerbaijan,11.329958349559103
Bahamas,6.31224085649103
Burundi,4.221496247894201
Belgium,9.879973321607327
Belarus,8.898287616806748
Brazil,16.573017528558815
Bahrain,5.920821446195777
Bulgaria,9.33587227523115
Canada,19.898259134776183
China,43.22069612828364
Ivory Coast,5.555556230612142
Colombia,8.210956985564245
Croatia,8.651973672663601
Cuba,14.050501403432431
Czech Republic,9.120695573930305
Denmark,13.685741469523169
Dominican Republic,3.8377957977419914
Egypt,5.466189336381564
Spain,14.889373862963655
Estonia,4.340450349500643
Ethiopia,8.26778868091939
Fiji,6.030894899928305
Finland,10.212963021657007
France,36.42072475915661
Great Britain,41.27499260656991
Ireland,17.18736256966297
Georgia,7.462174438513998
Germany,35.728539638743975
Greece,9.706977114352874
Grenada,4.231450280233571
Hungary,21.670495664194245
Indonesia,6.123973121427388
India,5.336315803515963
Iran,8.63060336221405
Ireland,5.258009515543399
Israel,4.244790435306386
Italy,28.485926587734156
Jamaica,11.173680179985594
Jordan,6.183181382232409
Japan,29.976371027501113
Kazakhstan,12.099954158756674
Kenya,11.826392685493786
South Korea,18.232455003609683
Kosovo,6.292303346100474
Lithuania,5.522928734283203
Morocco,4.35721046733129
Malaysia,5.5660921076544145
Mexico,6.376809064761912
Mongolia,5.2412951146839095
Netherlands,18.508514093106125
Nigeria,4.630523625766907
Niger,4.067946634353916
Norway,8.548432309850387
New Zealand,13.770912812983855
Philippines,3.9293402817118186
Poland,15.513176621171404
Portugal,4.508904483186625
North Korea,7.926448447725702
Puerto Rico,5.8204500817372615
Qatar,3.7826988326947952
Romania,12.22978810520744
South Africa,10.003454865685057
Russia,35.174449273799034
Singapore,6.539038857689091
Slovenia,6.251268928754442
Serbia,6.9138796618077025
Switzerland,11.848856287660606
Slovakia,7.049733420722951
Sweden,18.369996405582214
Thailand,7.054781932262768
Tajikistan,6.448853497075573
Chinese Taipei,5.4541124115841875
Trinidad and Tobago,4.43896762842887
Tunisia,4.61303564115027
Turkey,8.978261994885372
United Arab Emirates,3.930029251590236
Ukraine,11.937525676747317
United States,103.74853072620944
Uzbekistan,10.092279076555762
Venezuela,5.14542502400897
Vietnam,5.40708377883143
Albania,4.582267967713065
Algeria,7.056835249924766
Argentina,6.545991737625708
Armenia,5.520374910372088
Australia,36.44469027513563
Austria,8.74651696900013
Azerbaijan,7.9276797345650865
Belgium,12.071392231969437
Botswana,5.879180119635976
Brazil,15.373426698559673
Bahrain,6.519169493983542
Bulgaria,12.226734102217723
Canada,22.470321901990697
Chile,5.336050934109928
China,51.353940464386184
Ivory Coast,4.317860726291517
Colombia,5.838950275624569
Cabo Verde,4.109773597928035
Croatia,7.718539676020277
Cuba,12.45682023171118
Cyprus,4.245860348035299
Czech Republic,8.884444288122392
Denmark,11.587208283430341
Dominica,-1.6886322543003578
Dominican Republic,5.6374705124899815
Ecuador,-2.297076188901796
Egypt,6.943073956955171
Refugee Olympic Team,4.364948489926476
Spain,15.450099848539342
Ethiopia,7.2386799255969585
Fiji,4.020126487099523
France,45.06420633985108
Great Britain,48.28718864625712
Ireland,30.032498282722123
Georgia,8.187812489566417
Germany,32.12140849955672
Greece,9.700918108186789
Grenada,4.713786142824462
Guatemala,5.647010028610715
Hong Kong,6.447669269382241
Hungary,23.071172051698607
Indonesia,6.963954688440218
India,7.172873953172415
Iran,10.160607055048303
Ireland,9.190475575405294
Israel,7.310516647995818
Italy,33.85710628631702
Jamaica,8.593968245613315
Jordan,4.189972494078565
Japan,31.709543534258042
Kazakhstan,8.631528738268816
Kenya,11.009492856713553
Kyrgyzstan,6.190868273808102
South Korea,22.964315753455423
Kosovo,4.593742610470374
Saint Lucia,5.789284450587875
Lithuania,5.965667215236316
Morocco,5.64517584601555
Malaysia,4.639720039334844
Moldova,5.409358467120099
Mexico,7.277713526917426
Mongolia,5.14994307011573
Netherlands,24.291233123109507
Norway,11.179667706240819
New Zealand,15.383953227589924
Pakistan,6.852988937207057
Panama,4.260025245983795
Peru,4.183339941926579
Philippines,6.8726498705400765
Poland,-1.2330660423728856
Portugal,6.813762713017513
North Korea,7.064305215465456
Puerto Rico,4.639596269512083
Qatar,4.256468313713961
Romania,14.452004930194573
South Africa,8.322584250557153
Singapore,4.194287508713724
Slovenia,7.33015475940381
Serbia,7.487689890274543
Switzerland,12.131226169524112
Slovakia,4.748293824996939
Sweden,19.710614232267723
Thailand,7.002272588382709
Tajikistan,4.978450683145372
Chinese Taipei,7.532421830321262
Tunisia,5.713076664410133
Turkey,9.588885757350557
Uganda,-2.242691120344996
Ukraine,12.224053214156474
United States,105.06515615613723
Uzbekistan,11.215272750280203
Zambia,4.1055261796566445
