Sample File,NoC_True,max_allele_per_sample,total_alleles_per_sample,avg_alleles_per_marker,markers_gt2_alleles,markers_gt3_alleles,markers_gt4_alleles,avg_peak_height,std_peak_height,baseline_pred,预测正确,corrected_pred
B01_RD14-0003-44_45-1;1-M2S30-0.25IP-Q3.0_002.5sec.fsa,2,8,89,5.5625,14,13,13,29.48062015503876,59.361459084261064,2,True,3
C01_RD14-0003-44_45-1;1-M2S30-0.126IP-Q3.0_003.5sec.fsa,2,14,86,5.375,14,13,10,19.058333333333334,32.52905510109858,2,True,3
D01_RD14-0003-44_45-1;1-M3S30-0.062IP-Q3.1_004.5sec.fsa,2,9,76,4.75,14,12,8,12.775,19.40867972685148,2,True,3
E01_RD14-0003-44_45-1;1-M4S30-0.03IP-Q3.2_001.5sec.fsa,2,9,77,4.8125,15,11,9,7.530769230769231,8.29886371370086,4,False,4
A02_RD14-0003-44_45-1;1-M4d-0.031IP-Q0.9_001.5sec.fsa,2,8,72,4.5,14,12,7,11.890625,18.187230258843407,2,True,3
B01_RD14-0003-44_45-1;1-M3a-0.25IP-Q0.5_002.5sec.fsa,2,9,86,5.375,14,13,10,129.24107142857142,167.20259306233748,2,True,3
B02_RD14-0003-44_45-1;1-M2e-0.25IP-Q0.8_002.5sec.fsa,2,12,98,6.125,16,13,12,53.94326241134752,87.91845028609876,3,False,3
C01_RD14-0003-44_45-1;1-M3a-0.126IP-Q0.5_003.5sec.fsa,2,9,83,5.1875,15,13,10,67.41121495327103,87.04281675422712,2,True,3
D01_RD14-0003-44_45-1;1-M3a-0.062IP-Q0.5_004.5sec.fsa,2,11,91,5.6875,15,15,9,37.2589928057554,56.26378583138234,2,True,3
D02_RD14-0003-44_45-1;1-M4e-0.062IP-Q1.3_004.5sec.fsa,2,12,96,6.0,16,15,12,15.653333333333334,27.051277846150263,2,True,3
E01_RD14-0003-44_45-1;1-M4a-0.031IP-Q0.5_001.5sec.fsa,2,9,84,5.25,14,13,11,26.466666666666665,39.672595654158755,2,True,3
E02_RD14-0003-44_45-1;1-M4e-0.031IP-Q1.3_001.5sec.fsa,2,6,70,4.375,16,11,7,11.428571428571429,16.16397634476527,2,True,3
F01_RD14-0003-44_45-1;1-M2d-0.25IP-Q0.7_002.5sec.fsa,2,9,98,6.125,15,15,14,92.5,137.4795101187058,3,False,3
G01_RD14-0003-44_45-1;1-M3d-0.126IP-Q0.5_003.5sec.fsa,2,10,96,6.0,15,15,12,51.312,77.51050043329197,2,True,3
H01_RD14-0003-44_45-1;1-M4d-0.062IP-Q0.9_004.5sec.fsa,2,13,88,5.5,15,14,12,26.28,38.710172039850704,2,True,3
A03_RD14-0003-46_47_48-1;1;1-M3S10-0.045IP-Q1.4_001.5sec.fsa,3,9,76,4.75,15,12,8,12.678571428571429,17.224649363297516,3,True,3
F02_RD14-0003-46_47_48-1;1;1-M2S10-0.375IP-Q1.2_002.5sec.fsa,3,12,96,6.0,15,15,11,67.77868852459017,117.67039779517226,3,True,3
G02_RD14-0003-46_47_48-1;1;1-M2S10-0.189IP-Q1.2_003.5sec.fsa,3,15,100,6.25,15,14,11,36.116883116883116,68.55062992726002,3,True,3
H02_RD14-0003-46_47_48-1;1;1-M3S10-0.093IP-Q1.4_004.5sec.fsa,3,10,87,5.4375,14,13,11,27.714285714285715,41.737366016648934,3,True,3
A07_RD14-0003-46_47_48-1;1;1-M4d-0.045IP-Q0.6_001.5sec.fsa,3,11,86,5.375,15,14,8,19.93525179856115,25.25900861913716,2,False,3
B06_RD14-0003-46_47_48-1;1;1-M2a-0.375IP-Q0.4_002.5sec.fsa,3,9,98,6.125,15,14,13,241.1551724137931,307.7659360038369,3,True,3
B07_RD14-0003-46_47_48-1;1;1-M2e-0.375IP-Q1.0_002.5sec.fsa,3,10,91,5.6875,15,14,12,71.5,121.58665881928364,3,True,3
C06_RD14-0003-46_47_48-1;1;1-M3a-0.189IP-Q0.5_003.5sec.fsa,3,10,95,5.9375,15,14,13,111.65546218487395,162.2518150103381,3,True,3
C07_RD14-0003-46_47_48-1;1;1-M2e-0.189IP-Q1.0_003.5sec.fsa,3,14,101,6.3125,15,15,12,41.714285714285715,72.74206506471077,3,True,3
D06_RD14-0003-46_47_48-1;1;1-M3a-0.093IP-Q0.5_004.5sec.fsa,3,11,96,6.0,15,15,11,62.71212121212121,93.73118378526287,3,True,3
E06_RD14-0003-46_47_48-1;1;1-M3a-0.045IP-Q0.5_001.5sec.fsa,3,10,94,5.875,15,15,12,40.00769230769231,58.202333014035474,3,True,3
E07_RD14-0003-46_47_48-1;1;1-M3e-0.093IP-Q0.8_001.5sec.fsa,3,14,93,5.8125,15,13,9,20.320261437908496,29.074236559368973,3,True,3
F06_RD14-0003-46_47_48-1;1;1-M3d-0.375IP-Q0.5_002.5sec.fsa,3,9,94,5.875,15,14,12,115.4672131147541,163.63435273644367,3,True,3
F07_RD14-0003-46_47_48-1;1;1-M3e-0.045IP-Q0.8_002.5sec.fsa,3,11,86,5.375,15,13,10,14.802919708029197,18.14153481738165,3,True,3
G06_RD14-0003-46_47_48-1;1;1-M4d-0.189IP-Q0.6_003.5sec.fsa,3,10,100,6.25,15,15,14,51.91240875912409,79.72383163260925,3,True,3
H06_RD14-0003-46_47_48-1;1;1-M4d-0.093IP-Q0.6_004.5sec.fsa,3,9,95,5.9375,15,15,13,36.93700787401575,58.17226034387705,3,True,3
B05_RD14-0003-40_41_42_43-1;1;1;1-M3S10-0.06IP-Q1.5_002.5sec.fsa,4,9,83,5.1875,15,12,10,10.740157480314961,11.317364519071692,3,False,3
G04_RD14-0003-40_41_42_43-1;1;1;1-M1S10-0.5IP-Q1.3_003.5sec.fsa,4,13,104,6.5,15,14,13,85.3076923076923,134.50240458666346,4,True,4
H04_RD14-0003-40_41_42_43-1;1;1;1-M2S10-0.252IP-Q1.3_004.5sec.fsa,4,11,108,6.75,15,15,12,45.1156462585034,72.74062732137307,4,True,4
B01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.5IP-Q0.9_002.5sec.fsa,4,12,105,6.5625,15,15,13,176.67441860465115,225.1654309471252,4,True,4
B02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.5IP-Q3.2_002.5sec.fsa,4,14,110,6.875,15,13,12,38.64150943396226,72.44528996569423,4,True,4
C01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.252IP-Q0.9_003.5sec.fsa,4,12,110,6.875,15,15,12,92.55905511811024,122.64729748368893,4,True,4
C02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.252IP-Q3.2_003.5sec.fsa,4,9,100,6.25,15,14,13,22.155405405405407,39.66418779846727,4,True,4
D01_RD14-0003-40_41_42_43-1;1;1;1-M3a-0.124IP-Q0.9_004.5sec.fsa,4,10,106,6.625,15,15,14,65.30656934306569,95.58808395800024,4,True,4
D02_RD14-0003-40_41_42_43-1;1;1;1-M2e-0.124IP-Q3.2_004.5sec.fsa,4,11,98,6.125,16,14,12,17.876543209876544,27.8750016978188,2,False,3
E01_RD14-0003-40_41_42_43-1;1;1;1-M4a-0.06IP-Q0.7_001.5sec.fsa,4,12,103,6.4375,16,15,15,28.057142857142857,43.9233753057848,4,True,4
E02_RD14-0003-40_41_42_43-1;1;1;1-M4e-0.06IP-Q5.6_001.5sec.fsa,4,12,74,4.625,13,12,8,8.792592592592593,11.124194618707012,4,True,4
A06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.315IP-Q2.4_001.5sec.fsa,5,13,92,5.75,14,12,11,45.86153846153846,86.39083301266717,3,False,3
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.155IP-Q2.9_002.5sec.fsa,5,10,89,5.5625,15,13,10,17.387755102040817,30.26197237992223,5,True,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2S30-0.075IP-Q2.9_003.5sec.fsa,5,9,74,4.625,13,12,8,10.880952380952381,13.842893999656075,5,True,5
H05_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1S30-0.625IP-Q2.4_004.5sec.fsa,5,11,104,6.5,15,15,13,85.5,157.79170108162393,5,True,5
A07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2d-0.075IP-Q2.8_001.5sec.fsa,5,8,78,4.875,15,11,8,16.166666666666668,21.692671573598307,2,False,3
B06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.625IP-Q0.7_002.5sec.fsa,5,10,102,6.375,15,15,14,259.3524590163934,309.3687233341055,5,True,5
B07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.625IP-Q1.9_002.5sec.fsa,5,15,113,7.0625,15,15,14,79.03424657534246,128.24832670191932,5,True,5
C06_RD14-0003-30_31_32_33_34-1;1;1;1;1-M2a-0.315IP-Q0.7_003.5sec.fsa,5,13,111,6.9375,16,15,15,136.24615384615385,178.6247229578232,5,True,5
C07_RD14-0003-30_31_32_33_34-1;1;1;1;1-M1e-0.315IP-Q1.9_003.5sec.fsa,5,15,114,7.125,16,15,15,43.042857142857144,66.32000809553925,5,True,5
